   sample.timestamp         X         Y          Z subject gesture sample
0               0.0  1.532289 -0.919373  10.113108     U01      01     01
1              11.0  0.919373 -0.919373   9.959879     U01      01     01
2              22.0  1.838747 -0.153229  10.726024     U01      01     01
3              33.0  5.822699  3.371036  10.879252     U01      01     01
4              44.0  6.435614  1.532289   9.193734     U01      01     01
5              55.0  2.758120 -7.967903   9.193734     U01      01     01
6              66.0  0.612916 -6.588843   8.887277     U01      01     01
7              77.0  0.000000 -2.145205   9.653421     U01      01     01
8              88.0 -0.153229 -1.685518   9.653421     U01      01     01
9              99.0  0.306458 -0.306458   9.959879     U01      01     01
    sample.timestamp         X         Y         Z subject gesture sample
10             110.0 -1.991976 -8.887277  7.201759     U08      20     20
11             121.0 -0.459687 -2.911349  9.500193     U08      20     20
12             132.0  0.459687  4.137181  9.346964     U08      20     20
13             143.0 -1.991976  4.750096  7.508216     U08      20     20
14             154.0 -5.056554  3.371036  8.274362     U08      20     20
15             165.0 -4.443638  1.991976  9.040505     U08      20     20
16             176.0 -4.137181  2.145205  8.887277     U08      20     20
17             187.0 -5.056554  1.838747  7.508216     U08      20     20
18             198.0 -4.290410  1.225831  9.346964     U08      20     20
19             209.0 -4.903325  2.451663  8.887277     U08      20     20
   sample.timestamp         X         Y         Z subject gesture sample
0               0.0  0.046662  0.178172  0.383203     U01      01     01
1              11.0 -0.243681  0.178172  0.139347     U01      01     01
2              22.0  0.191834  0.455329  1.358630     U01      01     01
3              33.0  2.079060  1.730249  1.602485     U01      01     01
4              44.0  2.369403  1.065073 -1.079937     U01      01     01
5              55.0  0.627347 -2.371668 -1.079937     U01      01     01
6              66.0 -0.388851 -1.872786 -1.567648     U01      01     01
7              77.0 -0.679194 -0.265279 -0.348367     U01      01     01
8              88.0 -0.751780 -0.098985 -0.348367     U01      01     01
9              99.0 -0.534023  0.399897  0.139347     U01      01     01
    sample.timestamp         X         Y         Z subject gesture sample
10             110.0 -0.487195 -1.474219 -1.639716     U08      20     20
11             121.0 -0.109525 -0.296052  0.435874     U08      20     20
12             132.0  0.117078  1.093581  0.297502     U08      20     20
13             143.0 -0.487195  1.214418 -1.362972     U08      20     20
14             154.0 -1.242536  0.942534 -0.671107     U08      20     20
15             165.0 -1.091468  0.670649  0.020755     U08      20     20
16             176.0 -1.015934  0.700858 -0.117617     U08      20     20
17             187.0 -1.242536  0.640440 -1.362972     U08      20     20
18             198.0 -1.053701  0.519602  0.297502     U08      20     20
19             209.0 -1.204769  0.761277 -0.117617     U08      20     20
